parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"KP8",Senator,Western Australia,WA,1928-SEN,1929-07-01,1942-09-06,1942-CASUAL1-WA,Died
"K9V",Member,Hotham,VIC,1977-HOR,1977-12-10,1980-10-18,1980-HOR,Defeated
"NL6",Member,Canning,WA,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"KA7",Member,Grampians,VIC,1914-HOR,1914-09-05,1915-01-01,1915-BY2-GRAMPIANS,Died
"KA9",Member,Lilley,QLD,1937-HOR,1937-10-23,1943-08-21,1943-HOR,Defeated
"KAB",Member,Adelaide,SA,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"KH4",Member,Lalor,VIC,1977-HOR,1977-12-10,1998-08-31,1998-HOR,Retired
"KDV",Member,Newcastle,NSW,1958-HOR,1958-11-22,1983-02-04,1983-HOR,Retired
"96430",Member,Herbert,QLD,2010-HOR,2010-08-21,,,
"LH4",Senator,Queensland,QLD,1980-SEN,1981-07-01,1996-06-30,1996-SEN,Retired
"KDW",Member,Indi,VIC,1928-HOR,1928-11-17,1931-12-19,1931-HOR,Defeated
"A9B",Member,Throsby,NSW,2010-HOR,2010-08-21,,,
"KDX",Member,Ballaarat (now Ballarat),VIC,1951-HOR,1951-04-28,1955-12-10,1955-HOR,Defeated
"KDY",Member,Balaclava,VIC,1951-BY1-BALACLAVA,1951-07-28,1960-06-02,1960-BY3-BALACLAVA,Resigned
"KDZ",Member,Grampians,VIC,1917-BY2-GRAMPIANS,1917-10-27,1922-12-16,1922-HOR,Abolished at Redistribution (to Bendigo - Defeated)
"E5D",Member,New England,NSW,2013-HOR,2013-09-07,,,
"MH4",Member,Fadden,QLD,1984-HOR,1984-12-01,2007-10-17,2007-HOR,Retired
"KPA",Senator,New South Wales,NSW,1970-SEN,1970-11-21,1974-05-18,1974-SEN,Defeated
"1V5",Member,Kennedy,QLD,1966-HOR,1966-11-26,1990-02-19,1990-HOR,Retired
"HX4",Member,Kennedy,QLD,1993-HOR,1993-03-13,,,
"KPC",Senator,Victoria,VIC,1946-SEN,1947-07-01,1951-04-28,1951-SEN,Defeated
"KE4",Senator,Victoria,VIC,1937-SEN,1938-07-01,1946-04-26,1946-CASUAL1-VIC,Died
"KE7",Member,Cunningham,NSW,1956-BY1-CUNNINGHAM,1956-04-11,1963-11-01,1963-HOR,Retired
"KPE",Senator,Tasmania,TAS,1901-SEN1,1901-03-29,1923-06-30,1922-SEN,Defeated
"NH4",Member,Blaxland,NSW,1969-HOR,1969-10-25,1996-04-23,1996-BY1-BLAXLAND,Resigned
"KPG",Senator,Queensland,QLD,1964-SEN,1965-07-01,1983-02-04,1983-SEN,Retired
"E0J",Member,Stirling,WA,2004-HOR,2004-10-09,,,
"KE8",Member,Bass,TAS,1949-HOR,1949-12-10,1954-05-29,1954-HOR,Defeated
"009MM",Member,Wakefield,SA,1958-HOR,1958-11-22,1977-11-10,1977-HOR,Retired
"99931",Member,Hughes,NSW,2010-HOR,2010-08-21,,,
"FK6",Member,Dawson,QLD,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"GK6",Member,Lindsay,NSW,1996-BY2-LINDSAY,1996-10-19,2007-10-17,2007-HOR,Retired
"HRI",Member,Eden-Monaro,NSW,2007-HOR,2007-11-24,2013-09-07,2013-HOR,Defeated
"OH4",Member,Canberra,ACT,1980-HOR,1980-10-18,1995-01-30,1995-BY1-CANBERRA,Resigned
"KEA",Member,Wentworth,NSW,1903-HOR,1903-12-16,1919-11-03,1919-HOR,Retired
"BT4",Member,Goldstein,VIC,1990-HOR,1990-03-24,2004-08-31,2004-HOR,Retired
"WW4",Senator,Victoria,VIC,1990-SEN,1990-07-01,2008-06-30,2007-SEN,Retired
"KPI",Senator,Queensland,QLD,1949-SEN,1949-12-10,1965-06-30,1964-SEN,Retired
"KEB",Member,Corio,VIC,1913-HOR,1913-05-31,1914-09-05,1914-HOR,Defeated
"KEC",Member,Bendigo,VIC,1969-BY2-BENDIGO,1969-06-07,1972-12-02,1972-HOR,Defeated
"KED",Member,Moira,VIC,1901-HOR1,1901-03-29,1906-12-12,1906-HOR,Abolished at Redistribution (to Echuca - Defeated)
"KPK",Senator,Victoria,VIC,1953-SEN,1953-07-01,1971-06-30,1970-SEN,Retired
"PH4",Member,Hotham,VIC,1980-HOR,1980-10-18,1990-03-24,1990-HOR,Defeated
"KEE",Member,Chisholm,VIC,1949-HOR,1949-12-10,1970-07-31,1970-BY2-CHISHOLM,Died
"KEI",Member,Bowman,QLD,1983-HOR,1983-03-05,1987-06-05,1987-HOR,Retired
"KEJ",Member,Yarra,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Defeated
"KEK",Member,Ballaarat (now Ballarat),VIC,1919-HOR,1919-12-13,1920-06-02,1920-BY1-BALLAARAT,Voided
"QH4",Member,Werriwa,NSW,1978-BY1-WERRIWA,1978-09-23,1993-12-22,1994-BY1-WERRIWA,Resigned
"XW4",Member,Dickson,QLD,1998-HOR,1998-10-03,2001-11-10,2001-HOR,Defeated
"RH4",Member,Denison,TAS,1987-HOR,1987-07-11,2010-07-19,2010-HOR,Retired
"244247",Senator,Queensland,QLD,2013-SEN,2014-07-01,,,
"KPO",Senator,Northern Territory,NT,1975-SEN,1975-12-13,1987-06-05,1987-SEN,Retired
"4U4",Member,Moreton,QLD,1955-HOR,1955-12-10,1983-08-15,1983-BY3-MORETON,Resigned
"KEQ",Member,Riverina i,NSW,1922-HOR,1922-12-16,1931-11-27,1931-HOR,Retired
"00AMR",Member,Ballarat (was Ballaarat),VIC,2001-HOR,2001-11-10,,,
"00AMQ",Member,Wentworth,NSW,2001-HOR,2001-11-10,2004-10-09,2004-HOR,Defeated
"KET",Member,Wimmera,VIC,1958-HOR,1958-11-22,1977-11-10,1977-HOR,Abolished at Redistribution (Retired)
"KPQ",Senator,Western Australia,WA,1922-SEN,1923-07-01,1935-01-15,1935-CASUAL1-WA,Died
"KEW",Member,Adelaide,SA,1903-HOR,1903-12-16,1908-05-11,1908-BY1-ADELAIDE,Died
"00AOO",Senator,South Australia,SA,2001-SEN,2002-07-01,2008-06-30,2007-SEN,Retired
"KGN",Member,Forrest,WA,1969-HOR,1969-10-25,1972-12-02,1972-HOR,Defeated
"KYR",Member,Kalgoorlie,WA,1901-HOR1,1901-03-29,1903-12-16,1903-HOR,Defeated
"SH4",Member,Prospect,NSW,1969-HOR,1969-10-25,1990-02-19,1990-HOR,Retired
"KPT",Senator,South Australia,SA,1931-CASUAL1-SA,1931-04-01,1931-12-18,1931-SEN,Expired Defeated
"KPV",Senator,Australian Capital Territory,ACT,1975-SEN,1975-12-13,1981-03-04,1981-CASUAL3-ACT,Died
"GV5",Member,Gilmore,NSW,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"TH4",Senator,Western Australia,WA,1984-SEN,1984-12-01,2005-06-30,2004-SEN,Retired
"KYT",Member,Kooyong,VIC,1901-HOR1,1901-03-29,1910-07-26,1910-BY1-KOOYONG,Resigned
"G1N",Senator,Victoria,VIC,2007-SEN,2008-07-01,2014-06-30,2013-SEN,Defeated
"KZ6",Member,Grey,SA,1922-HOR,1922-12-16,1931-12-19,1931-HOR,Defeated
"KPZ",Senator,Tasmania,TAS,1964-SEN,1965-07-01,1971-06-30,1970-SEN,Defeated
"KQD",Senator,New South Wales,NSW,1975-SEN,1975-12-13,1985-06-30,1984-SEN,Retired
"JG4",Member,Streeton,VIC,1984-HOR,1984-12-01,1990-03-24,1990-HOR,Abolished at Redistribution (to Deakin - Defeated)
"KZ8",Member,West Sydney,NSW,1921-BY2-WESTSYDNEY,1921-09-03,1928-09-06,1928-HOR-NOBY,Died
"250026",Senator,Tasmania,TAS,2013-SEN,2014-07-01,,,
"E0H",Member,Bowman,QLD,2004-HOR,2004-10-09,,,
"KZC",Member,Illawarra,NSW,1917-HOR,1917-05-05,1922-12-16,1922-HOR,Abolished at Redistribution (to Barton - Defeated)
"KQF",Senator,Tasmania,TAS,1937-SEN,1938-07-01,1950-06-30,1949-SEN,Defeated
"249764",Member,Capricornia,QLD,2013-HOR,2013-09-07,,,
"KZF",Member,Barton,NSW,1931-HOR,1931-12-19,1940-09-21,1940-HOR,Defeated
"KZJ",Member,Reid,NSW,1946-HOR,1946-09-28,1949-12-10,1949-HOR,Defeated
"KG4",Member,Fraser,ACT,1984-HOR,1984-12-01,1996-12-06,1997-BY1-FRASER,Resigned
"KZN",Member,Riverina i,NSW,1940-HOR,1940-09-21,1949-12-10,1949-HOR,Defeated
"KQH",Senator,New South Wales,NSW,1940-SEN,1941-07-01,1951-04-28,1951-SEN,Defeated
"KQL",Senator,Western Australia,WA,1942-CASUAL1-WA,1942-10-08,1943-08-20,1943-SEN,Expired Defeated
"KZO",Member,Kooyong,VIC,1922-HOR,1922-12-16,1934-08-07,1934-HOR,Retired
"K26",Member,Werriwa,NSW,1994-BY1-WERRIWA,1994-01-29,2005-01-21,2005-BY1-WERRIWA,Resigned
"KQN",Senator,South Australia,SA,1967-CASUAL1-SA,1967-11-02,1981-06-30,1980-SEN,Retired
"KQQ",Senator,South Australia,SA,1951-SEN,1951-04-28,1969-05-13,1969-CASUAL1-SA,Died
"247130",Member,Reid,NSW,2013-HOR,2013-09-07,,,
"LG4",Member,Dickson,QLD,1993-HOR-DICKSON,1993-04-17,1996-03-02,1996-HOR,Defeated
"KZU",Member,Calare,NSW,1919-HOR,1919-12-13,1922-12-16,1922-HOR,Defeated
"834",Member,Parkes,NSW,1998-HOR,1998-10-03,2001-10-08,2001-HOR,Retired
"XS4",Member,Fremantle,WA,1994-BY2-FREMANTLE,1994-03-12,2007-10-17,2007-HOR,Retired
"KZW",Member,Wimmera,VIC,1949-HOR,1949-12-10,1958-11-22,1958-HOR,Defeated
"KQV",Senator,Queensland,QLD,1964-SEN,1965-07-01,1975-11-11,1975-SEN,Retired
"KZX",Member,Brisbane,QLD,1931-HOR,1931-12-19,1961-11-02,1961-HOR,Retired
"KQZ",Senator,Victoria,VIC,1928-SEN,1929-07-01,1935-06-30,1934-SEN,Retired
"KZZ",Member,Macquarie,NSW,1931-HOR,1931-12-19,1940-09-21,1940-HOR,Defeated
"108616",Senator,Queensland,QLD,2013-SEN,2014-07-01,,,
"L07",Member,Werriwa,NSW,1934-HOR,1934-09-15,1952-10-01,1952-BY3-WERRIWA,Died
"KR9",Senator,Victoria,VIC,1934-SEN,1935-07-01,1947-06-30,1946-SEN,Defeated
"L0R",Member,Cowper,NSW,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"L0U",Member,Lalor,VIC,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"MG4",Member,Dobell,NSW,1984-HOR,1984-12-01,2001-11-10,2001-HOR,Defeated
"8U4",Senator,South Australia,SA,1990-CASUAL2-SA,1990-04-04,2005-06-30,2004-SEN,Defeated
"BU8",Member,Fraser,ACT,2010-HOR,2010-08-21,,,
"L0X",Member,St George,NSW,1954-HOR,1954-05-29,1955-12-10,1955-HOR,Defeated
"L19",Member,Moore,WA,1961-HOR,1961-12-09,1963-11-01,1963-HOR,Retired
"L1C",Member,Corio,VIC,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"NG4",Senator,Victoria,VIC,1976-CASUAL1-VIC,1976-12-17,1993-06-30,1993-SEN,Retired
"00AMN",Member,Farrer,NSW,2001-HOR,2001-11-10,,,
"L1G",Member,Barton,NSW,1925-HOR,1925-11-14,1928-11-17,1928-HOR,Defeated
"111206",Senator,New South Wales,NSW,2013-SEN,2014-07-01,,,
"L1H",Member,Hunter,NSW,1903-HOR,1903-12-16,1910-04-13,1910-HOR,Defeated
"XU5",Member,Indi,VIC,1993-HOR,1993-03-13,2001-10-08,2001-HOR,Retired
"WP6",Senator,Western Australia,WA,1997-CASUAL1-WA,1997-05-19,2008-06-30,2007-SEN,Retired
"KRG",Senator,Tasmania,TAS,1958-SEN,1959-07-01,1974-04-11,1974-SEN,Retired
"258337",Senator,Queensland,QLD,2015-CASUAL3-QLD,2015-05-21,,,
"HK6",Member,Herbert,QLD,1996-HOR,1996-03-02,2010-07-19,2010-HOR,Retired
"L1I",Member,Flinders,VIC,1954-HOR,1954-05-29,1966-10-31,1966-HOR,Retired
"OG4",Member,Herbert,QLD,1983-HOR,1983-03-05,1996-03-02,1996-HOR,Defeated
"112096",Senator,Western Australia,WA,2013-CASUAL1-WA,2013-05-15,,,
"L1J",Member,Corio,VIC,1917-HOR,1917-05-05,1929-10-12,1929-HOR,Defeated
"KRU",Senator,Victoria,VIC,1967-SEN,1968-07-01,1974-05-18,1974-SEN,Defeated
"83A",Member,Capricornia,QLD,1998-HOR,1998-10-03,2013-08-05,2013-HOR,Retired
"KI9",Member,Barker,SA,1906-HOR,1906-12-12,1922-11-06,1922-HOR,Retired
"2E4",Member,Murray,VIC,1971-BY1-MURRAY,1971-03-20,1996-01-29,1996-HOR,Retired
"IK6",Member,Robertson,NSW,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"KRX",Senator,Tasmania,TAS,1910-SEN,1910-07-01,1918-12-20,1919-CASUAL1-TAS,Resigned
"KIB",Member,Lang,NSW,1928-HOR,1928-11-17,1931-12-19,1931-HOR,Defeated
"KIC",Member,New England,NSW,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"BS4",Senator,New South Wales,NSW,1990-SEN,1990-07-01,1995-05-21,1995-CASUAL2-NSW,Resigned
"KID",Member,Macquarie,NSW,1951-BY2-MACQUARIE,1951-07-28,1975-11-11,1975-HOR,Retired
"KIE",Member,Braddon,TAS,1955-HOR,1955-12-10,1958-11-22,1958-HOR,Defeated
"KIH",Member,Lyne,NSW,1952-BY1-LYNE,1952-03-22,1980-09-19,1980-HOR,Retired
"I07",Senator,Western Australia,WA,2007-SEN,2008-07-01,,,
"84N",Senator,Queensland,QLD,1998-SEN,1999-07-01,,,
"7G6",Senator,Australian Capital Territory,ACT,1996-SEN,1996-03-02,2015-03-25,2015-CASUAL2-ACT,Retired
"KIK",Member,Hume,NSW,1974-HOR,1974-05-18,1984-12-01,1984-HOR,Defeated
"KIL",Member,Werriwa,NSW,1914-HOR,1914-09-05,1919-12-13,1919-HOR,Defeated
"KRZ",Senator,Western Australia,WA,1906-SEN,1907-01-01,1938-06-30,1937-SEN,Defeated
"KIM",Member,Flinders,VIC,1966-HOR,1966-11-26,1982-10-22,1982-BY2-FLINDERS,Resigned
"KIN",Member,Hume,NSW,1901-HOR1,1901-03-29,1913-05-31,1913-HOR,Defeated
"J7U",Member,Darwin,TAS,1943-HOR,1943-08-21,1951-03-19,1951-HOR,Retired
"M38",Member,Bass,TAS,2010-HOR,2010-08-21,2013-09-07,2013-HOR,Defeated
"F4O",Member,Wilmot,TAS,1929-HOR,1929-10-12,1939-04-07,1939-BY2-WILMOT,Died
"KS7",Senator,Western Australia,WA,1935-CASUAL1-WA,1935-03-05,1947-06-30,1946-SEN,Defeated
"YW4",Senator,Queensland,QLD,1990-SEN,1990-07-01,,,
"KS9",Senator,Queensland,QLD,1931-SEN,1932-07-01,1937-08-17,1937-CASUAL1-QLD,Died
"CX5",Senator,New South Wales,NSW,2000-CASUAL2-NSW,2000-05-04,2008-06-30,2007-SEN,Retired
"KIQ",Member,Brisbane,QLD,1901-HOR2,1901-03-30,1903-12-16,1903-HOR,Defeated
"WN6",Member,Groom,QLD,1998-HOR,1998-10-03,,,
"KSH",Senator,Tasmania,TAS,1901-SEN1,1901-03-29,1910-06-30,1910-SEN,Defeated
"YH4",Senator,Queensland,QLD,1977-SEN,1978-07-01,1999-06-30,1998-SEN,Defeated
"AT4",Member,North Sydney,NSW,1990-HOR,1990-03-24,1996-01-29,1996-HOR,Retired
"KIT",Member,Lilley,QLD,1917-HOR,1917-05-05,1934-08-07,1934-HOR,Retired
"KIW",Member,Evans,NSW,1963-HOR,1963-11-30,1972-12-02,1972-HOR,Defeated
"9L6",Senator,Tasmania,TAS,1996-CASUAL2-TAS,1996-03-08,2005-07-29,2005-CASUAL2-TAS,Resigned
"KSJ",Senator,New South Wales,NSW,1903-CASUAL3-NSW,1903-10-08,1903-11-30,1903-RESIGNED-NOVAC,Resigned
"0I4",Member,Warringah,NSW,1969-HOR,1969-10-25,1994-02-18,1994-BY5-WARRINGAH,Resigned
"KKT",Member,Calare,NSW,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"KKU",Member,Corangamite,VIC,1953-BY2-CORANGAMITE,1953-08-29,1966-10-31,1966-HOR,Retired
"PG6",Member,Jagajaga,VIC,1996-HOR,1996-03-02,,,
"2I4",Senator,Queensland,QLD,1980-SEN,1981-07-01,1990-06-30,1990-SEN,Retired
"6I4",Member,Goldstein,VIC,1984-HOR,1984-12-01,1990-02-19,1990-HOR,Retired
"L6P",Member,Perth,WA,2013-HOR,2013-09-07,,,
"217571",Senator,Victoria,VIC,2010-SEN,2011-07-01,,,
"7I4",Senator,South Australia,SA,1983-SEN,1983-03-05,1993-06-30,1993-SEN,Defeated
"GP4",Member,Lowe,NSW,1982-BY1-LOWE,1982-03-13,1987-07-11,1987-HOR,Defeated
"KSL",Senator,Queensland,QLD,1949-SEN,1949-12-10,1965-06-30,1964-SEN,Retired
"KLB",Member,Kalgoorlie,WA,1919-HOR,1919-12-13,1920-11-12,1920-BY2-KALGOORLIE,Expelled
"KLC",Member,Denison,TAS,1934-HOR,1934-09-15,1940-09-21,1940-HOR,Defeated
"KLG",Member,Dalley,NSW,1915-BY3-DALLEY,1915-05-06,1927-01-18,1927-BY1-DALLEY,Resigned
"KLJ",Member,Moore,WA,1963-HOR,1963-11-30,1974-05-18,1974-HOR,Defeated
"KLL",Member,Bonython,SA,1955-HOR,1955-12-10,1963-11-01,1963-HOR,Retired
"KLM",Member,Melbourne,VIC,1904-BY2-MELBOURNE,1904-03-30,1940-08-27,1940-HOR,Retired
"KMM",Member,Corangamite,VIC,1913-HOR,1913-05-31,1918-10-23,1918-BY3-CORANGAMITE,Died
"KMQ",Member,Perth,WA,1922-HOR,1922-12-16,1929-10-12,1929-HOR,Defeated
"KMS",Member,Macquarie,NSW,1922-HOR,1922-12-16,1928-11-17,1928-HOR,Defeated
"LK6",Member,Capricornia,QLD,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"DX5",Senator,Western Australia,WA,1993-SEN,1993-07-01,1999-06-30,1998-SEN,Defeated
"HWP",Member,Forrest,WA,2007-HOR,2007-11-24,,,
"KMU",Member,Wentworth,NSW,1919-HOR,1919-12-13,1931-12-19,1931-HOR,Defeated
"E07",Member,Macquarie,NSW,2010-HOR,2010-08-21,,,
"HWQ",Member,Corio,VIC,2007-HOR,2007-11-24,,,
"KMW",Member,Parkes,NSW,1931-BY1-PARKES,1931-01-31,1943-08-21,1943-HOR,Defeated
"KSN",Senator,Tasmania,TAS,1953-SEN,1953-07-01,1975-11-11,1975-SEN,Retired
"00AOP",Senator,Victoria,VIC,2001-SEN,2002-07-01,,,
"KMZ",Member,Herbert,QLD,1928-HOR,1928-11-17,1946-08-16,1946-HOR,Retired
"8I4",Member,Cunningham,NSW,1993-HOR,1993-03-13,2002-08-16,2002-BY1-CUNNINGHAM,Resigned
"KN9",Member,Banks,NSW,1969-HOR,1969-10-25,1980-09-19,1980-HOR,Retired
"KNA",Senator,Western Australia,WA,1981-CASUAL2-WA,1981-03-11,1983-03-05,1983-SEN,Defeated
"KNC",Member,Swan,WA,1940-BY3-SWAN,1940-12-21,1943-08-21,1943-HOR,Defeated
"84M",Senator,Queensland,QLD,1998-SEN,1999-07-01,2015-04-15,2015-CASUAL3-QLD,Retired
"L8O",Senator,New South Wales,NSW,1977-SEN,1978-07-01,1987-06-05,1987-SEN,Retired
"KNF",Senator,New South Wales,NSW,1925-SEN,1926-07-01,1938-06-30,1937-SEN,Retired
"KSQ",Senator,Western Australia,WA,1901-SEN1,1901-03-29,1906-12-31,1906-SEN,Retired
"M2V",Member,Macarthur,NSW,2010-HOR,2010-08-21,,,
"KOE",Member,Casey,VIC,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"KNH",Member,Melbourne Ports,VIC,1906-HOR,1906-12-12,1931-11-27,1931-HOR,Retired
"KSS",Senator,South Australia,SA,1949-SEN,1949-12-10,1968-06-30,1967-SEN,Retired
"KNJ",Member,Maribyrnong,VIC,1906-HOR,1906-12-12,1910-04-13,1910-HOR,Defeated
"KSU",Senator,Queensland,QLD,1913-SEN,1913-07-01,1920-06-30,1919-SEN,Defeated
"KSW",Senator,Queensland,QLD,1967-SEN,1968-07-01,1981-06-30,1980-SEN,Defeated
"KNP",Member,Fawkner,VIC,1917-HOR,1917-05-05,1935-06-25,1935-BY2-FAWKNER,Died
"83B",Member,McPherson,QLD,1998-HOR,1998-10-03,2010-07-19,2010-HOR,Retired
"KOH",Member,Chisholm,VIC,1983-HOR,1983-03-05,1987-07-11,1987-HOR,Defeated
"121628",Senator,New South Wales,NSW,2015-CASUAL1-NSW,2015-05-06,,,
"VH4",Member,Corangamite,VIC,1984-BY1-CORANGAMITE,1984-02-18,2007-11-24,2007-HOR,Defeated
"KSY",Senator,Queensland,QLD,1970-SEN,1971-07-01,1981-06-30,1980-SEN,Retired
"KOL",Member,Wakefield,SA,1946-HOR,1946-09-28,1958-10-14,1958-HOR,Retired
"KOQ",Member,Martin,NSW,1934-HOR,1934-09-15,1943-08-21,1943-HOR,Defeated
"KT8",Senator,New South Wales,NSW,1949-SEN,1949-12-10,1962-06-30,1961-SEN,Retired
"KPM",Member,Corinella i,VIC,1901-HOR1,1901-03-29,1906-12-12,1906-HOR,Abolished at Redistribution (to Corio - Defeated)
"KTA",Senator,New South Wales,NSW,1961-SEN,1962-07-01,1987-01-23,1987-CASUAL1-NSW,Resigned
"KPN",Member,Wimmera,VIC,1931-HOR,1931-12-19,1937-10-23,1937-HOR,Defeated
"5U4",Senator,New South Wales,NSW,1971-CASUAL1-NSW,1971-03-16,1978-07-21,1978-CASUAL2-NSW,Resigned
"JK6",Member,Barton,NSW,1996-HOR,1996-03-02,2013-08-05,2013-HOR,Retired
"KQ4",Senator,Victoria,VIC,1906-SEN,1907-01-01,1914-09-05,1914-SEN,Defeated
"KQJ",Member,Bowman,QLD,1949-HOR,1949-12-10,1961-12-09,1961-HOR,Defeated
"219646",Member,Riverina ii,NSW,2010-HOR,2010-08-21,,,
"KQK",Member,Corangamite,VIC,1940-HOR,1940-09-21,1953-06-10,1953-BY2-CORANGAMITE,Died
"KQP",Member,Kennedy,QLD,1901-HOR2,1901-03-30,1925-11-13,1925-HOR-NOBY,Died
"KQS",Member,Barton,NSW,1922-HOR,1922-12-16,1925-11-14,1925-HOR,Defeated
"KTD",Senator,New South Wales,NSW,1922-SEN,1922-12-16,1924-10-14,1924-CASUAL2-NSW,Died
"KK6",Member,Griffith,QLD,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"KQT",Member,Wannon,VIC,1906-HOR,1906-12-12,1913-05-31,1913-HOR,Defeated
"KQU",Member,Melbourne,VIC,1901-HOR1,1901-03-29,1904-03-10,1904-BY2-MELBOURNE,Voided
"E5E",Senator,South Australia,SA,2004-SEN,2005-07-01,,,
"009MB",Member,Murray,VIC,1949-HOR,1949-12-10,1971-02-01,1971-BY1-MURRAY,Resigned
"83C",Member,Stirling,WA,1998-HOR,1998-10-03,2004-10-09,2004-HOR,Defeated
"WH4",Senator,Victoria,VIC,1993-SEN,1993-07-01,2011-06-30,2010-SEN,Defeated
"XH4",Member,Gippsland,VIC,1983-HOR,1983-03-05,2008-04-09,2008-BY1-GIPPSLAND,Resigned
"123674",Member,Indi,VIC,2013-HOR,2013-09-07,,,
"KRD",Member,Ballaarat (now Ballarat),VIC,1920-BY1-BALLAARAT,1920-07-10,1934-07-31,1934-HOR-NOBY,Died
"217241",Senator,Queensland,QLD,2013-SEN,2014-07-01,,,
"KTF",Senator,South Australia,SA,1901-SEN2,1901-03-30,1914-08-13,1914-DIED-NOVAC,Died
"KRF",Member,Cowper,NSW,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"KTH",Senator,South Australia,SA,1922-SEN,1923-07-01,1927-07-24,1927-CASUAL1-SA,Died
"ZH4",Member,Grayndler,NSW,1993-HOR,1993-03-13,1996-01-29,1996-HOR,Retired
"KRH",Member,Wakefield,SA,1938-BY1-WAKEFIELD,1938-12-10,1940-09-21,1940-HOR,Defeated
"KTJ",Senator,Western Australia,WA,1974-SEN,1974-05-18,1987-06-05,1987-SEN,Retired
"KRK",Member,Gellibrand,VIC,1955-HOR,1955-12-10,1972-11-02,1972-HOR,Retired
"KTL",Senator,New South Wales,NSW,1958-SEN,1958-11-22,1970-04-13,1970-CASUAL1-NSW,Died
"KTN",Senator,Tasmania,TAS,1943-SEN,1944-07-01,1968-06-30,1967-SEN,Retired
"207825",Senator,Victoria,VIC,2010-SEN,2011-07-01,,,
"232251",Member,Diamond Valley,VIC,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"BP4",Member,Bennelong,NSW,2007-HOR,2007-11-24,2010-08-21,2010-HOR,Defeated
"1I4",Senator,Western Australia,WA,1984-SEN,1984-12-01,2002-06-30,2001-SEN,Retired
"KTP",Senator,Victoria,VIC,1914-SEN,1914-09-05,1917-06-30,1917-SEN,Defeated
"KTR",Senator,South Australia,SA,1926-CASUAL1-SA,1926-02-24,1944-06-30,1943-SEN,Retired
"HT4",Member,Barker,SA,1990-HOR,1990-03-24,1998-08-31,1998-HOR,Retired
"KTX",Senator,South Australia,SA,1934-SEN,1935-07-01,1947-06-30,1946-SEN,Retired
"KTZ",Senator,South Australia,SA,1970-SEN,1971-07-01,1983-02-04,1983-SEN,Retired
"KRO",Member,Gippsland,VIC,1901-HOR1,1901-03-29,1906-12-12,1906-HOR,Defeated
"KRP",Member,Lang,NSW,1901-HOR1,1901-03-29,1903-11-23,1903-HOR,Retired
"3I4",Senator,New South Wales,NSW,1987-SEN,1987-07-11,1991-08-23,1991-CASUAL2-NSW,Resigned
"KRR",Member,Perth,WA,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"KUA",Senator,South Australia,SA,1949-SEN,1949-12-10,1955-09-14,1955-CASUAL1-SA,Died
"KSC",Member,Boothby,SA,1949-HOR,1949-12-10,1966-10-31,1966-HOR,Retired
"KSB",Member,Boothby,SA,1966-HOR,1966-11-26,1981-01-22,1981-BY1-BOOTHBY,Resigned
"4I4",Member,Watson ii,NSW,1993-HOR,1993-03-13,2004-08-31,2004-HOR,Retired
"KSD",Member,Wannon,VIC,1951-HOR,1951-04-28,1955-11-04,1955-HOR,Retired
"84L",Senator,Queensland,QLD,1998-SEN,1999-07-01,,,
"KSF",Member,Sydney,NSW,1975-HOR,1975-12-13,1983-02-04,1983-HOR,Retired
"009MA",Member,Lowe,NSW,1949-HOR,1949-12-10,1982-01-04,1982-BY1-LOWE,Resigned
"KUD",Senator,Victoria,VIC,1964-SEN,1965-07-01,1974-05-18,1974-SEN,Defeated
"L2G",Member,Wentworth,NSW,1901-HOR1,1901-03-29,1903-11-23,1903-HOR,Retired
"5I4",Member,Fraser,ACT,1998-HOR,1998-10-03,2010-07-19,2010-HOR,Retired
"KUH",Senator,New South Wales,NSW,1951-SEN,1951-04-28,1971-06-30,1970-SEN,Retired
"241589",Member,Dobell,NSW,2013-HOR,2013-09-07,,,
"JT7",Member,Wannon,VIC,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"JT8",Member,Canning,WA,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"JTB",Member,Werriwa,NSW,1931-HOR,1931-12-19,1934-08-02,1934-HOR-NOBY,Resigned
